date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:31	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263f5f32c-154%22	https://www.classcentral.com/robots.txt		(from )
15:45:32	664899/664899	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Feb%202023%2020:45:32%20GMT	https://www.classcentral.com/	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/index.html	(from )
15:45:33	2206/2206	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
15:45:33	975/975	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
15:45:33	731/731	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
15:45:34	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%2263f5f1c2-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
15:45:34	1960/1960	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2263f5f32c-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
15:45:35	913/913	U--MCZ	200	updated ('OK')	text/xml	etag:W/%2263f5f1c2-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
15:45:35	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Feb%202023%2020:45:35%20GMT	https://www.classcentral.com/images/illustrations/homepage-discover-01.png	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/www.classcentral.com/images/illustrations/homepage-discover-01.1a.delayed	(from https://www.classcentral.com/)
15:45:36	4282/4282	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2012:32:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
15:45:36	4168/4168	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2009:52:51%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
15:45:36	5751/5751	U-----	200	untouched ('')	image/png	date:Tue,%2021%20Feb%202023%2023:42:50%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
15:45:36	6215/6215	U-----	200	untouched ('')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
15:45:37	6083/6083	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2012:56:19%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/Users/angel/Documents/gatote/prueba_definitiva_definitiva/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
